ENTREZID	SYMBOL	ENSEMBL
1	39	ACAT2	ENSG00000120437
2	292	SLC25A5	ENSG00000005022
3	332	BIRC5	ENSG00000089685
4	387	RHOA	ENSG00000067560
5	472	ATM	ENSG00000149311
6	545	ATR	ENSG00000175054
7	595	CCND1	ENSG00000110092
8	672	BRCA1	ENSG00000012048
9	675	BRCA2	ENSG00000139618
10	699	BUB1	ENSG00000169679
11	701	BUB1B	ENSG00000156970
12	801	CALM1	ENSG00000198668
13	890	CCNA2	ENSG00000145386
14	891	CCNB1	ENSG00000134057
15	892	CCNC	ENSG00000112237
16	894	CCND2	ENSG00000118971
17	896	CCND3	ENSG00000112576
18	898	CCNE1	ENSG00000105173
19	899	CCNF	ENSG00000162063
20	900	CCNG1	ENSG00000113328
21	901	CCNG2	ENSG00000138764
22	902	CCNH	ENSG00000134480
23	904	CCNT1	ENSG00000129315
24	905	CCNT2	ENSG00000082258
25	928	CD9	ENSG00000010278
26	983	CDK1	ENSG00000170312
27	991	CDC20	ENSG00000117399
28	993	CDC25A	ENSG00000164045
29	994	CDC25B	ENSG00000101224
30	995	CDC25C	ENSG00000158402
31	996	CDC27	ENSG00000004897
32	999	CDH1	ENSG00000039068
33	1017	CDK2	ENSG00000123374
34	1018	CDK3	ENSG00000250506
35	1018	CDK3	ENSG00000261408
36	1019	CDK4	ENSG00000135446
37	1020	CDK5	ENSG00000164885
38	1021	CDK6	ENSG00000105810
39	1022	CDK7	ENSG00000134058
40	1022	CDK7	ENSG00000277273
41	1024	CDK8	ENSG00000132964
42	1025	CDK9	ENSG00000136807
43	1026	CDKN1A	ENSG00000124762
44	1027	CDKN1B	ENSG00000111276
45	1028	CDKN1C	ENSG00000129757
46	1028	CDKN1C	ENSG00000273707
47	1029	CDKN2A	ENSG00000147889
48	1030	CDKN2B	ENSG00000147883
49	1031	CDKN2C	ENSG00000123080
50	1032	CDKN2D	ENSG00000129355
51	1033	CDKN3	ENSG00000100526
52	1062	CENPE	ENSG00000138778
53	1063	CENPF	ENSG00000117724
54	1068	CETN1	ENSG00000177143
55	1069	CETN2	ENSG00000147400
56	1070	CETN3	ENSG00000153140
57	1072	CFL1	ENSG00000172757
58	1073	CFL2	ENSG00000165410
59	1111	CHEK1	ENSG00000149554
60	1112	FOXN3	ENSG00000053254
61	1163	CKS1B	ENSG00000173207
62	1164	CKS2	ENSG00000123975
63	1432	MAPK14	ENSG00000112062
64	1434	CSE1L	ENSG00000124207
65	1622	DBI	ENSG00000155368
66	1647	GADD45A	ENSG00000116717
67	1841	DTYMK	ENSG00000168393
68	1894	ECT2	ENSG00000114346
69	2023	ENO1	ENSG00000074800
70	2091	FBL	ENSG00000105202
71	2091	FBL	ENSG00000280548
72	2146	EZH2	ENSG00000106462
73	2224	FDPS	ENSG00000160752
74	2316	FLNA	ENSG00000196924
75	2317	FLNB	ENSG00000136068
76	2597	GAPDH	ENSG00000111640
77	2810	SFN	ENSG00000175793
78	3014	H2AFX	ENSG00000188486
79	3015	H2AFZ	ENSG00000164032
80	3148	HMGB2	ENSG00000164104
